;input;path;generated;Lev
175;fish 25 2; О Ф Ц Щ Г Щ Ц Х Ш А Д С Р; О Ф Х Ш А Д С С С Т;7
176;fish 25 3; О Ф Х Ш А К К Ш Х Ц Г К Л Ж Т; О Ф Х Ш А К К К К Т;7
177;fish 25 4; О М М Ф Х Ш А К Л Л М Ш Х Х Ш Д Д Ш Х Ц Щ Г Ц Х Д Д Ш Ш Д Д Ш Х Х Ш К К Ш Х Ц Щ К Л Ж Т; О Ф Х Ш А Ш Х Ц Щ Т;35
178;fish 25 5; О Ф Ф И К К И М М М М Ф Ц Щ К М М О Ф Ц Щ Г Щ Ц Х Ш К Л Е Р; О Ф Ф Ф Ц Щ К Л Ж Т;22
179;fish 26 1; О Ф Ц Щ Г К К Г Щ Ц Х Ш А Ш Х Ц Щ К М О О Ф Х Ш А К Л Е Р; О Ф Х Ш А К К К Л Т;21
180;fish 26 2; О Ф Х Ш К К А Ш Х Ц Щ К К Щ Ц Х Х Ц З С С З Щ Ц Х Ш Д С Р; О Ф Х Ш А К К К Л Т;22
181;fish 26 3; О Ф Ц Ц Х Ш А К Л Е С Д А А А К Л Б Б Б Е С С Р; О Ф Х Ш А К К К К Т;17
182;fish 26 4; О М Л В Ж Ж Л К Г Щ Ц Х Ш А Д С Е Л Л Е Р; О Ф Х Ш А К К К К Т;17
183;fish 26 5; О М К К М Ф Ц Щ Г Щ Ц Х Ш А К И И К Л Ж Т; О Ф Ф Х Ш А К Л М Т;14
184;fish 26 6; О Ф Х Х Ц Щ Г К Л Л М О О Ц Щ З С С З К Г Щ Ц Х Ш А К Л Е Р; О Ф Х Ш А К К К К Т;24
185;fish 26 7; О М К К М М Л Ж С З К К Щ Ц Х Х Ц Щ З С Ж Л Л Ж Т; О Ф Х Ш А К К К К Т;22
186;fish 4 1; О Ф Х Х Х Ш А К К А Ш Х Ц Щ Г З С С С С С З Щ Ц Х Х Ф Ф Ц Ц Щ Г К К Щ Ц Х Х Ц Щ З С С З Щ Ц Ц Щ Щ К Л Ж С С С С С С С С С С З Щ Ц Х Ш А К Л Б Л К Л Л К Щ Ц Х Ш А К Л Л К Щ Ц Х Ш А К Л Л К К Л Б Л К К Л Л К К Л Л К К Л Е Р; О Ф Х Ш А Ш Х Ц Щ Т;102
187;fish 4 2; О М М М Л К Г Щ Ц Ф Ф Ц Щ Щ Ц Х Х Ц Щ З З Щ Ц Х Х Ц Щ З З Щ Ц Х Ш А К К Ш Х Ц Щ З З Щ У Ц Щ З З Щ Ц Х Х Ц Щ З С С С С С С С С С С З Щ Ц Ц Щ З З Щ Ц Ц Щ Щ З С С С Т; О Ф Х Ш А Ш А Д С Т;75
188;fish 5 1; О М Л К Г К Л Л К З С С З Ц Ф Ф Ц Ц Ф О О М М М Л Л К Ц Ц З З Ц Ц К Л Ж Т; О Ф Ф Ф Ф Ц Щ К Л Т;30
189;fish 5 2; О О О Ф Ц Ц Х Ш А К Л Л К Ш Х Ц Щ Г К Л Л К З С Т Т С С Т; О Ф Ф Ф Ц Щ К Л Л Т;22
190;fish 5 3; О М Л В Л К Г З С С З Ц Х Ш А К Л Л К А К Л Л К Л Л К А Ш Х Х Х Ц Ц Ф Ф Ф Ф Х Х Ф Ф Ц Ц Ф Ф Х Х Ф Ф Ц Щ К К З С С С С З К К Ц Х Х Ц Ц Х Х Ф Ф Х Х Ф Ф Х Ш К Л Л К К К Ш Х Ф Ф Ц Щ К К З С Т; О Ф Ф Ф Ф Ц Щ К Л Т;85
191;fish 6 1; О М Л В Л К Г Щ Щ З С Т; О Ф Ф Х Ш А К Л К Т;11
192;fish 6 2; О И Л Е Р Р С С С Д А Ш Х Ц Ц Ф О О И Л Е С С Р Р С Р; О Ф Х Ш А К К К Л Т;24
193;fish 6 3; О М М М О О Ф Ф Ц Щ Г К К З С Ж В Л Л Л К З С Т; О Ф Ф Х Ш А К К К Т;18
194;fish 6 4; О Ф Ф И И Л К К Л Б Л Л Л Л Л Л Л И И И И И И И И И И И И И Ф Х Ш А Ш Ш Ш Х Ц Ц Х Ш Д Д Ш Х Х Ш А Д С С С Е Л И И И И И И И К Ш Х Х Ш Д Д Ш Х Ц Ц Ц Щ Г К Л Л К З С С З К К Г З С Т; О Ф Х Ш А Ш Х Ц Щ Т;81
195;fish 7 1; О Ф Х Ш А К К Ш Х Ц Щ Г К Л В Л Л Л М М М О О Ф Ц Ц Ц Х Ш А Д Д А Д С Е Л И И Л Е С С Е Е Р; О Ф Ф Х Ш А Ш Х Ц Т;39
196;fish 7 2; О Ф Х Ш А Д С Е Л Л Е С Д Д С С С Е Л И И И И И Ф Х Х Ц Щ Г Щ Щ Щ Ц Ц Щ К Г З С Т; О Ф Х Ш А Д С С Д Т;32
197;fish 8 1; О М М О О Ф Ц Щ К Л Ж С З К К Щ Ц Х Ш Б Е С С Р; О Ф Ф Х Ш А Ш Х Ц Т;20
198;fish 8 2; О И И Ф Ф М К Г К Л Ж С З Г Г Г Щ Ц Х Х Х Ш А А Ш Х К Л Е С Д А Ш Х Х Ш К Л Б Л К А Д С С Д К К Д С С Д Ш Х Ф И К А Д С Р; О Ф Х Ш А Ш А К К Т;52
199;fish 8 3; О Ф Ц Ц Х Ш А Ш Х Х Ш А А Д С С Д Ш Х Х Ш Д С С Д Ш Х Ц Щ Г К К З С Т; О Ф Ф Х Ш А К К К Т;28
200;fish 9 1; О Ф Ц Щ Г К Л Л Л Л К Г Щ Ц Ф Ф Х Ш А Ш Х Ц Щ Г Щ Ц Х Ш А К К Ш Х Ф М Л Ж С С Ж Л М И К Д С Р; О Ф Х Ш А Д С С Д Т;39
201;fish 9 2; О Ф Х Ш А Ш Х Х Ш А Д С С Д А Ш Х Ц Щ Г З С С З Г Г Г Ш Ц Х Х Ц Ц Х Ш А А Ш Х Х Ш К К А Ш Х Х Х Ш Д С С Д Ш Х Ц З З Г Щ Ц Х Ш А Ш Х Ц З С Ж Л Л Ж С З К К Г Щ Ц Х Ш К К Д С С Д А Ш Х Ц З С С З Щ Ц Х Ш А А А Д С Р; О Ф Х Ш А Д С С Д Т;97
202;fish 10 1; О Ф Х Ш А К К А А Д Д Ш Х Ц Щ З С С З Щ Ц Х Ш Д Д Ш Х Ц Щ Г К Л Ж С С Т; О Ф Х Ш А К К Л К Т;28
203;fish 10 2; О Ф Х Х Ц Г К Л Л Л М Ф Х Х Ц Г З С С З Г Г Г Г Г Г Г З С С З Щ Ц Х Ш А К К И М Л Л М О О Ф Х Ш К К Д С Е Л И М Л Л К К К Г З С С З Щ Ц Х Ш К К Д Ш Х Ц Щ З С Т; О Ф Х Ш А Д С С С Т;71
204;fish 10 3; О Ф Ф Ф М И К Г Щ Ц Х Ш А К Л Л К Д Д Ш Х Ц Щ Щ Ц Х Х Ц Г З С С З Щ Ц Х Х Ц Щ Г Г З З Г Щ Ц Х Ш А Д С Р; О Ф Х Ш А К К К Л Т;45
205;fish 11 1; О Ф Ф Х Ш Д С С Д Ш Х Ц Щ Г Щ Ц Ц З С Ж Л М Ф Х Ш Д Д А Д С Е Л И М М И Л Е Е Л И И К Ш Х Ц Щ З С С З К Л Ж Т; О Ф Х Ш А К К К К Т;48
206;fish 11 2; О М К Г К Л Ж С З К Л Ж С З К М Ф Х Ш А К Л Е С Д К К А А Д С С Д А А Ш Х Ц Щ К Л Ж Т; О Ф Х Ш А А А А А Т;34
207;fish 12 1; О Ф Ц Щ Г З С С З Щ Ц Х Ш А Д С Е Л И О О О О И Л Л К К Л Е С Р; О Ф Х Ш А Д С С С Т;24
208;fish 12 2; О М М М И К Ш Х Х Ш Д С С Д А Д Д К К А Д Д Ш Х Ц Щ З С Ж Л М И К А Д С С Д К К Ш Х Ц Щ Щ Ц Х Х Ц Щ Г К Л Л К Ш Х Д С С С Р; О Ф Х Ш А Д С С С Т;54
209;fish 13 1; О Ф Ц Щ Г Щ Ц Ц Щ Г К М М М О О Ф Х Ш Д С С Д А Ш Х Ф Ф Х Ш А Ш Х Ц Щ Г З С Т; О Ф Ф Х Ш А А А А Т;32
210;fish 13 2; О Ф Х Ш А Ш Х Х Ш А Д С Е Б Л К А А А К Л Л К А А А Ш Х Х Ш Ш Д Ц Щ З З Г Щ Ц Х Ш А Ш Х Ц Щ Г К Л Ж С З Щ Ц Ш А К Л Л К Ш Х Ц Щ З С Т Т Ж Л В Л К Г З З Г Щ Ц Х Ш А К К Д С Р Р С Д А Ш Х Х Ш А К Л Е Р; О Ф Х Ш А А А А А Т;91
211;fish 13 3; О Ф Ц Щ К Л В Л К Г Щ Ц Х Ш А К К Ш Х Ф И Л Л К К Л Е Р; О Ф Х Ш А А А А А Т;23
212;fish 13 4; О Ф Ц Ц Х Ш А Д С С Д А Ш Х Ф О О Ф Х Ш А Д С С Д А Ш Х Ц Щ Г Щ Ц Ц Щ К К Г Щ Ц Х Х Ц Щ Г Щ Ц Ц Ц Х Х Ц Щ Г З С Т; О Ф Х Ш А Ш А А А Т;49
213;fish 14 1; О Ф Х Ш К К Г Ш Х Ц Щ К Л Л М И Л Е Р; О Ф Х Ш А Д С Д С Т;15
214;fish 14 2; О Ф Х Ш Д Д А К Л Л К К К Д Д Ш Х Х Ш Д Д Ш Х Ц Щ Г Щ Щ К К З С С З Ш Ц Х Ш Д Д Ш Х Щ Ц З С Ж Л Л В Л К З Щ Ц Ц Щ З С Г З С С З Ц Х Ш Ш Х Ц З С С З З С С С З З С Т; О Ф Х Ш А Д С Д С Т;73
215;fish 15 1; О Ф Х Ш К Л Е Р; О Ф Х Ш А Д С С С Т;5
216;fish 15 2; О Ф Х Ш Д С С Д А Д С С Д Ш Х Ц Щ З З Щ Ц Ц К К Щ Ц Х Ш Д С Р; О Ф Х Ш А Д С С Д Т;22
217;fish 15 3; О Ф Ц Щ З С С З Г К Л Ж С З Ц Х Х Ц З С С З Ц Х Х Ц З С С З Ц Х Ш А А Д С С Д Ш Ш Д С С Д Ш Х Ц З С С З С Ж Л Л Ж С З Ц Х Х Ц З С С З Щ Ц Х Х Ц Г З С Ж Л Л Ж С С С С С С Т; О Ф Х Ш А К К К К Т;81
218;fish 15 4; О Ф Х Ш К И И И И И Ф Ц Щ Г З С С З Щ Ц Ц Щ Щ Ц Х Ш А Д С С Д Д С С Д Ш Х Ц Щ Щ Ц Х Ш Д С С С С Д Ш Х Ц З С С З Ц Х Ш Д С С Д Ш Х Ц З С С З Ц Х Ш Д С С Д Ш Х Ц З С С З Ц Х Х Ц З С С З Ц Х Ш К К Ш Х Ц Щ З С С З Щ Ц Х Ш А К Л Е С Д Ш Х Х Ш Д С С Д Ш Х Ц З С С З Ц Х Ш Д С С Т; О Ф Х Ш А Д С С С Т;128
219;fish 16 1; О Ф Х Ш К И И К Ш Х Ц Г З С С З Г Г К К Щ З С С З Ц Х Ш А Ш Х Х Ш К К Д С С Д Ш Х Ц Г З С С З Ц Х Ш Д С С Д Ш Х Ц З С С З Ц Х Ш А А Ш Х Х Ш Д Д Ш Х Ц З С С З Щ Ц Х Ш А Ш Х Ц Г З С С З Ц Х Х Ц З С С З Щ Ц Х Ш Д С С Д Ш Х Ц З С С З Ц Х Ш Д С С Д А А Ш Х Ц К К К Л Ж С З Ц Х Х Ц З С Ж Л М Ф Х Ш Х Ц З С Т; О Ф Х Ш А Ш А К К Т;142
220;fish 17 1; О Ф Х Ш А Д С С Д А К К Ш Х Ш Д С С Д А Ш Х Ц Щ Г К Л В Ж С З З С С З Щ Ц Х Ш А Д С Р; О Ф Ф Ф Ф Ц Щ К Л Т;37
221;fish 17 2; О Ф Х Х Ф Ф Ф Ф Ф Ц Щ Г З С С З К Л Ж С З Щ Ц Ц Щ Г З С С З Щ Ц Х Х Ц Щ З С Т; О Ф Ф Ф Х Ш А Ш А Т;34
222;fish 17 3; О Ф Х Ш К Л Б Л И И И Ф Ц Ц Ц Щ З С С З Щ Ц Х Ш Д С С Д Д С С С Р; О Ф Ф Ф Ф Ц Щ К Л Т;28
223;fish 18 1; О М М Ф Х Ш А Ш Х Х Ш Д С Р Р Е Л К К А Ш Х Ц Щ Г К К Г З С Ж Л Л Ж С З Г Щ Ц Х Ш А К К Д С С Д А К К Д С С Д Щ Х Ц Щ Г З С С З Щ Ц Ц Щ З С Т; О Ф Х Ш А Д С С С Т;62
224;fish 18 2; О Ф Х Ш Д С Е Л Л Е С Д А Ш Х Ц Ц Х Ш Д С С Д А К К Д С С Д Д Д Д Д Ш Х Ц Щ Г З С С З Щ Ц Ц Щ Г З С С З Г Щ Ц Х Х Ц Щ З З З С С З Щ Ц Ц Щ Г Щ Ц Х Х Ц Щ З С С З Щ Ц Х Ш А К И И И И К А Д С С Д Ш Х Ц Щ Г Г Г З С С З К К К Л Ж С С Т; О Ф Х Ш А Д С С С Т;106
225;fish 18 3; О Ф Ц Щ Г Щ Ц Х Ш Ш Х Ц Щ Г З С С З Щ Ц Х Х Ц Щ З С С З Щ Ц Х Ш А Д С С Д Ш Х Ц Щ Щ Ц Х Ш Д С С Д Д С Р; О Ф Х Ш А К К К К Т;47
226;fish 18 4; О Ф Х Ш Ш Х Ц Щ З С С З Щ Ц Х Х Ц Г З С Ж Л Л Л М И К А Ш Х Х Ш К Л Е С С Р; О Ф Х Ш А Ш Х Ц Щ Т;31
227;fish 19 1; О И К А А Д С С Д Ш Х Ц Щ Г З С Ж Л К Щ Ц Х Ш К К Ш Х Ц Щ Г Г З С Ж Л М А Д С Р; О Ф Ф Ф Ф Ф Ф Ф Ф Т;39
228;fish 19 2; О Ф Х Ш Д С С Д К К А Ш Х Ц Щ Г Щ Ц Ц Щ З З З Л К Щ Ц Х Ш Д С Р; О Ф Ф Х Ш А К К Л Т;26
229;fish 19 3; О Ф Х Ш А Ш Х Х Ш К И Ф Ц Щ Г К Л Ж С З Щ Ц Ц Щ З Щ Ц Х Х Ц Щ З С Ж Л Л Ж Т; О Ф Ф Ф Х Ш А К К Т;33
230;fish 19 4; О Ф Ш Х А Д С Р Р С Д Д С С Д Ш Х Ц Ц Х Ш Ш Х Ц Ц Х Ш Д С С С С Д Ш Х Ц Ц Х Ш Д С Р; О Ф Х Ш А Ш А К К Т;37
231;fish 20 1; О Ф Ц Щ Г К Л В Ж Т; О Ф Ф Х Ш А Ш А К Т;8
232;fish 20 2; О Ф Х Ш А Ш Х Ц Щ Г З С Т; О Ф Х Ш А Д С С С Т;7
233;fish 20 3; О М Л В Ж С З Щ Ц Х Ш А Ш Х Ц Щ Г Щ Ц Ц Щ Г З С Ж Л Л Ж С З Щ Ц Х Ш Д С Р; О Ф Ф Х Ш А К К К Т;33
234;fish 20 4; О Ф Х Ш А Ш Х Ц Щ Г З С С С С З Щ Ц Х Ш А Ш Х Ц Щ З С С З Щ Ц Х Ш Д Д Ш Х Ц Щ К Л Ж Т; О Ф Х Ш А Ш А К К Т;35
235;fish 20 5; О Ф Х Ш А Ш Х Ц Щ К Л Ж С З Щ Ц Ц Щ Г З С Т Т С С Т; О Ф Ф Ф Ц Щ К Л Ж Т;19
236;fish 20 6; О М К Г З С С З Щ Ц Ц Щ З С С С С З Щ Ц Х Х Ц Щ З С С С Т; О Ф Х Ш А К К К К Т;27
237;fish 20 7; О Ф Ц Щ Г З С С З Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Х Ц Щ З С С З Щ Ц Х Ш А А Ш Х Ц Щ Г К Л Ж Т; О Ф Х Ш А К К К К Т;40
238;fish 21 1; О Ф Ц Щ Г Г Щ Ц Х Ш Д С Р; О Ф Ф Ф Х Ш А Ш А Т;9
239;fish 21 2; О Ф Ц Щ Г З З Щ Ц Х Ш А Ш Х Ц Щ Г К Л Ж Т; О Ф Ф Х Ш А Ш А К Т;14
240;fish 21 3; О Ф Х Щ А К И М К Щ Ц Ц Щ З С Т; О Ф Ф Х Ш А К Л К Т;11
241;fish 21 4; О Ф Ф Ф Х Ш А Ш Х Ц Щ К Л Л К З С Т Т С З Г Г К М О О Ф Х Ш Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Х Ц Ц Ф О О Ф З С Т; О Ф Х Ш А Ш Х Ц Щ Т;46
242;fish 21 5; О Ф Х Щ А Д С С Д Д С Р; О Ф Ф Ф Ф Ф Ц Щ К Т;10
243;fish 22 1; О Ф Х Ш А Ш Х Х Ш А К Л Л К А Д С С Д А Ш Х Ц Щ Г К Л Ж Т; О Ф Ф Х Ш А Ш А Д Т;22
244;fish 22 2; О Ф Ф Ф Х Ш А Ш Х Ц Щ К Л Л К Щ Ц Х Ш Д С Р Р С Д А Д С С Д Ш Х Ц Щ Г К К Щ Ц Ц Щ З С Т; О Ф Х Ш А Д С С С Т;35
245;fish 22 3; О Ф Х Ш А Ш Х Ф Ф Ц Щ Г К Л Ж Ж Л К Щ Ц Х Ш Д Д К Л Е Е Л К Ш Х Ц Щ Щ Ц Ц Щ З С С З К Л Ж Т; О Ф Ф Х Ш А К К К Т;38
246;fish 22 4; О Ф Х Ш А Ш Ш А К К Ш Х Ц Щ К Л Ж С З Щ Ц Х Х Ц Щ З С С З Щ Ц Х Ш Ш Ш Х Ц Щ К Л Ж Т; О Ф Х Ш А Ш А Ш Х Т;33
247;fish 23 1; О Ф Х Ш А Ш Х Х Ш А К И М К Г Щ Ц Ф И К Д С Р; О Ф Х Ш А Ш А Д С Т;14
248;fish 23 2; О М Л Л К Г Щ Ц Х Ш А Ш Х Ц Щ Г З С Т; О Ф Х Ш А Ш А Д С Т;13
249;fish 23 3; О Ф Ф Ф Х Ш А Ш Х Ц Щ К Л Ж С З Г К Л Ж С Т; О Ф Х Ш А Ш А К К Т;14
250;fish 23 4; О Ф Ф О О Ф Х Ш А К И О О М М М М Ф Х Ш Д С С Д Ш Х Ц Щ Г К К З С Т; О Ф Х Ш А Ш Х Ц Щ Т;25
251;fish 23 5; О Ф Ц Щ Г К К З С С З Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Ш А Ш Х Ц Щ З С Т; О Ф Ф Ф Ц Щ К Л Л Т;31
252;fish 23 6; О Ф Х Х Ц Щ К Л Л К Щ Ц Х Х Ц Щ Г Щ Ц Х Х Ц Щ З С С С С С С С С С С С С С Т; О Ф Х Ш А К К К К Т;33
253;fish 24 1; О Ф Ц Щ Г Щ Ц Х Ш А Ш Х Ц Щ Г З С Ж Л Л Ж Т; О Ф Ф Ф Ц Щ К Л Л Т;16
254;fish 24 2; О Ф Х Ш Д Д К К Ш Х Ф О О Ф М М М К К Г К М О Ф Х Ш Ш Х Х Ш А З С Ж Л Л Ж Т; О Ф Х Ш А К К К К Т;30
255;fish 24 3; О Ф Ц Ц Х Ш А К Л Е Е Л И И И О О М К Щ Ц Х Ш Д С С С Е Л И М Л Ж Т; О Ф Ф Ф Ф Ц Щ К Л Т;30
256;fish 24 4; О М К К Л Ж Т; О Ф Х Ш А К К К К Т;7
257;fish 24 5; О М К З С С З Г З С Т; О Ф Ф Ц Щ К Л Л Ж Т;10
258;fish 24 6; О Ф Х Ш К Л Л И М Л Ж Ж Л М О О И Л Е С Д А К Л Е Р; О Ф Х Ш А К К К К Т;20
259;fish 24 7; О М М О О И К Л Е Р; О Ф Х Ш А К К К К Т;8
260;fish 24 8; О М Л Л К Г К Л Ж Т; О Ф Ф Х Ш А К К К Т;8
261;fish 25 1; О Ф Х Ш А Ш Х Ц Щ Г К Л Ж Т; О Ф Х Ш А Д С С С Т;9
262;fish 25 2; О Ф Х Ш А Ш Х Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ Г К К З С Т; О Ф Х Ш А Д С С С Т;19
263;fish 25 3; О Ф Ш Х Ц Щ Г К Л Л К З С С З Щ Ц Х Ш Ш Х Ц Щ К Л Ж Т; О Ф Х Ш А К К К К Т;21
264;fish 25 4; О Ф Ш А Ш Х Х Ш Д С Р; О Ф Х Ш А Ш Х Ц Щ Т;6
265;fish 25 5; О Ф Ц Щ Г З С С С С З К Л Ж Т; О Ф Ф Ф Ц Щ К Л Ж Т;10
266;fish 25 6; О Ф Х Ш А Ш Х Ц Щ З С С З К Л Л К Г З С Т; О Ф Х Ш А К К К К Т;14
267;fish 25 7; О Ф Ф М К Г З С С С С З Щ Ц Х Ш Ш Х Ц Щ З С Т; О Ф Х Ш А К К К К Т;19
