;input;path;generated;Lev
268;fish 26 1; О Ф Х Ш А К К Ш Х Ц Щ З С Ж Л К Г Щ Ц Х Ш Д С Е Л К А Ш Х Щ Ц К Л Ж Т; О Ф Х Ш А К К К Л Т;26
269;fish 26 2; О Ф Х Х Ц Щ Г К К Щ Ц Х Х Х Ш Д С Р; О Ф Х Ш А К К К Л Т;13
270;fish 26 3; О Ф М К З С С С Ж Л М О О И К А К И М К З С Т; О Ф Х Ш А К К К К Т;18
271;fish 26 4; О М К Г К М И К К Л Л И О О И И М М М М И И М К Щ Ц Х Ш А Ш Х Ц Щ З С С З К Л Ж Т; О Ф Х Ш А К К К К Т;36
272;fish 26 5; О И И И Л Е С Д Д С С Д Ш Х Ц Щ Г З С С С С С Т; О Ф Ф Х Ш А К Л М Т;22
273;fish 26 6; О М Л Ж Ж Л М И Л Л И М Л Ж Т; О Ф Х Ш А К К К К Т;14
274;fish 3 1; О И Л К Ш Х Х Ш А К К Ш Х Ц Ц Ц Щ З С С З Г К Л Ж С С С З Щ Ц Х Ш Д Д Ш Х Ц Ц Х Ш Д С С С С С С Д Ш Х Ц Щ З С С З Щ Щ З З Щ Ц Х Ш Д Д Ш Ш Д С С С С Д Ш Х Ц Щ З С С С Т; О Ф Ф Ф Ф Ф Ф Ф Ф Т;83
275;fish 3 2; О И Л К Д Д Ш Х Ц Ц Х Ш Д Д Ш Х Ц Ц Х Ш Д С С Д Ш Х Ц Щ З З Щ Ц Х Ш Ш Х Ц Щ Щ Ц Х Ш Ш Х Ц Щ З З Щ Ц Х Ш А Д С С Д Ш Х Ц Ц Ц Щ З С С С С З Щ Щ Ц Щ З С С С С З Щ Ц Ц Щ З С С З Щ Ц Ц Щ З С С С С З Щ Ц Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Ш З С Т; О Ф Ф Х Ш А К Л К Т;112
276;fish 3 3; О М Л К Г К Л Ж С С С С Т; О Ф Ф Х Ш А К К К Т;12
277;fish 4 1; О Ф Х Ш К К Ш Л Ц Щ З З Щ Ц Х Ш Ш Х Ц Щ З С С З З С С З Щ Ц Х Х Ц Щ З С С С С З Щ Ц Х Х Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Ш Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Х Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Х Ц Щ З С Т; О Ф Х Ш А Ш Х Ц Щ Т;125
278;fish 4 2; О И К А Д С С С С Д Ш Х Ц Щ З С С З Щ Ц Х Ш Д С С Д Ш Х Ц Щ Д С С С С С С С С С Р; О Ф Х Ш А Ш А Д С Т;35
279;fish 4 3; О Ф Х Ш А Д Д К Л Л К Д С С Д Ш Х Ц Щ Г З С С З Г Щ Ц Х Ш Ш Х Ц Щ Щ Ц Х Х Ц Щ З С С З Щ Ц Х Х Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ Щ Ц Х Ш Ш Х Х Ш Д С С Д Ш Х Ц Щ З С С З Щ Ц Ш Ш Х Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Ш Д Р Р С Д К И М Л К Щ Ц Х Ш К Л Л К Ш Х Ц Щ З С Т; О Ф Х Ш А Ш Х Ц Щ Т;148
280;fish 5 1; О О О И И И И И Л Л К Д Д Ш Х Ц Щ Щ Ц Х Ш Ш Х Ц Щ Щ Ц Х Ш Ш Х Ц Щ Щ Ц Х Ш Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Х Ц Щ З С С З Щ Ц Х Х Ц Щ З С С З Щ Ц Х Ш Д С С Д Ш Х Ц Щ З С С С С С С Щ Ц Х Х Ц Щ З С С С С С С С Т; О Ф Ф Ф Ф Ц Щ К Л Т;100
281;fish 5 2; О Ф Ц Щ З С С З Щ Ц Х Х Ц Щ З С С С С С С З Щ Ц Х Ш Ш Х Ц Щ З С С С С С С С С С С С С З Щ Ц Х Х Ц Щ З С С З Щ Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Х Ц Щ З С С С С З Щ Ц Х Х Ц Щ З С С С С З Щ Ц Х Х Ц Щ З С С С С С С З Щ Ц Х Х Ц Щ З С С С С С С С С С С С С С С С С С С С С С С С С С С С С С С С С С С С Т; О Ф Ф Ф Ц Щ К Л Л Т;144
282;fish 5 3; О Ф Ц Ц Х Щ Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Х Ц Ц Х Х Ц Ц Х Х Ц Ц Х Х Ц Щ З С С З Щ Ц Х Х Ц Щ Щ Ц Х Х Ц Щ З С С З Щ Ц Х Х Ц Ц Х Ш К Л Е Р; О Ф Ф Ф Ф Ц Щ К Л Т;62
283;fish 6 1; О Ф Ц Щ Г З С С З Щ Ц Х Х Ц Щ З С С С С С С С С С С З Щ Ц Х Х Ц Щ З С С З Щ Ц Ц Щ З С С З Щ Ц Х Х Ц Щ З С С З Щ Ц Ц Щ З С С З Щ Ц Ц Щ З С С З Щ Ц Ц Щ З С С З Щ Ц Х Ш Д Д Ш Х Ц Щ Щ Ц Х Х Ц Щ З С С С С С С С С С С З Щ Ц Х Ш А Ш Х Ц Щ З С С З Щ Ц Х Х Ц Щ З С С С С С С С С З Щ Ц Ц Щ З С С С С С С С С С С С С З Щ Ц Х Х Ц Щ Щ Ц Х Х Ц Щ З С Ж Ж С С Т; О Ф Ф Х Ш А К Л К Т;168
284;fish 6 2; О И Л Е С Д А К К Д С Е Л Б И И И И К К Л Е С Д С С Д Ш Х Ц Щ Щ Ц Х Ш Д Д Ш Х Ц Щ З С С З Щ Ц Х Х Ц Щ Щ Ц Х Ш Д С Р; О Ф Х Ш А К К К Л Т;52
285;fish 7 1; О И Л К Ш Х Ц Щ З С С З Щ Ц Х Ш Ж С Р; О Ф Ф Х Ш А Ш Х Ц Т;16
286;fish 7 2; О Ф Ц Щ З С С З Щ Ц Х Х Ц Щ З С С З Щ Ц Х Х Ц Щ Щ Ц Х Х Ц Щ З С Т; О Ф Х Ш А Д С С Д Т;28
287;fish 7 3; О Ф Ц Щ К Л Л М Ф Х Х Ц Щ З С С С С З Щ Ц Х Х Ц Щ Щ Ц Х Ш Ш Х Ц Щ З С С С С С С З Щ Ц Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ З С С С С З Щ Ц Х Х Ц Щ Щ Ц Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Х Ш Ш Х Ц Щ Щ Ц Х Х Ц Щ З С С З К З С С З Щ Ц Ц Щ З З Щ Ц Щ Щ Ц Х Ш Ш Х Ц Щ З С Т; О Ф Х Ш А К К К К Т;128
288;fish 7 4; О Ф Ц Щ З С Ж Л М И К А Д С С Д Ш Х Ц Ц Х Ш Ш Х Х Ш Ш Х Ц Щ Щ Ц Х Ш Ш Х Ц Щ Щ Ц Х Ш Щ А Ш Х Ц Щ Щ Ц Х Ш Д С С С Р; О Ф Х Ш А Ш Х Ц Щ Т;48
289;fish 8 1; О М М И И И И И И И И И И И И И И И И И И И И И И И И И И И И И И И И И М К З С Т Т Ж Л К Г Щ Ц Х Х Ц Щ З С С С С С С З Г К Л Л Л К К Л Ж С З Щ Ц Х Х Ф О О М Л Ж С Т; О Ф Ф Х Ш А Ш Х Ц Т;80
290;fish 8 2; О О О М Л Ж Т; О Ф Х Ш А Ш А К К Т;8
291;fish 8 3; О О О О О О О О О М Л Л К З З Щ Ц Ц Щ З З Г З С С З К Л Л К Щ Ц Ц Щ З З Щ Ц Ц Щ З С С З Щ Щ З С С С С С С С С С С З Щ Ц Х Ш Д Д Ш Х Ц Щ Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Ш Ш Х Ц Щ Щ Ц Х Ш Ш Х Ц Щ Щ Ц Х Ш Ш Х Ц Щ З С С З Щ Ц Х Ш Ш Х Ш Щ Щ Ц Х Х Ц Щ З С С С С С Т; О Ф Ф Х Ш А К К К Т;125
292;fish 8 4; О Ф Ф Ф Х Х Ф О О М К Щ Щ Ц Ц Щ Щ Ц Ц Щ З С С С С З З С С З Щ Ц Х Ш Д Д Ш Х Ц Щ З С С З З С Т; О Ф Х Ш А Ш Х Ц Щ Т;39
293;fish 9 1; О Ф Х Ш Д Д Ш Х Ц Щ З З Щ Ц Ц Щ Г Г Щ Ц Х Ш Д С С Д А Ш Х Ц Щ Щ Ц Х Ш Д Д Ш Х Ц Щ З З Щ Ц Х Ш Щ Ц Х Ш К Л Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Ш Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Ш Д С С С С Д Ш Х Ц Щ З С С З Щ Ц Х Ш Д С С Д Щ Х Ц Щ З С С З Щ Ц Х Ш Щ Ц Х Ш Д С С Д Ш Х Ц Щ Щ Ц Х Ш Д С С Д Ш Х Ц Щ Щ Ц Х Ш Д С С С С С С Д Д С С; О Ф Х Ш А Д С С Д Т;149
294;fish 9 2; О Ф Х Ш К К Д С С С Р; О Ф Х Ш А Д С С Д Т;4
295;fish 9 3; О И Л Л К А Д С С Д К К Ш Х Х Ш Д С С С С С Р; О Ф Х Ш А А А А Д Т;20
296;fish 10 1; О И Л Е С С Е Л Л Е С С Р; О Ф Х Ш А К К Л К Т;11
297;fish 10 2; О М Л Л К З С С З Щ Ц Ц Щ Щ Ц Ц Щ Щ Ц Х Ш Ш Х Ц Щ З З Г З З Щ Щ З С С З З С С З Щ Ц Х Ш Ш Х Ц Щ Щ Ц Х Ш З С С С С С С С С С Т; О Ф Х Ш А Д С С С Т;57
298;fish 10 3; О И И И К Д С Р; О Ф Х Ш А К К К Л Т;7
299;fish 10 4; О Ф Х Ш А К К Д С С Д А К И И И И И И И Ф Ц Щ Г З З К К З С С З Щ Ц Х Ш Ш Х Ц Щ З З Щ Ц Ц Щ З С Т; О Ф Х Ш А Д С С С Т;40
300;fish 11 1; О И К А Ш Ш Ш Х Х Ш Д С С С Е Л К Ш Х Ц Щ З С Ж Л Л В Ж С З З С Ж Л Л Ж С З Г К Л Ж С З Щ Ц Х Ш Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Ш К Л Б Л И И И О О И И И И И И И Л Е Р; О Ф Х Ш А К К К К Т;77
301;fish 11 2; О М Л Л Л Л М И К Д С Р; О Ф Х Ш А А А А А Т;11
302;fish 11 3; О Ф Ц Щ З С С З Г К Л Ж С С Т; О Ф Х Ш А А А А А Т;13
303;fish 12 1; О Ф Х Х Х Ш Д С С Д Ш Х Ц Щ З З Щ Ц Ц Ц Х Ш А Ш Х Ц Ц Х Х Ц Щ Г Щ Ц Ц Щ Г Щ Ц Х Ш Д С С С Е Б Е С С С С С С Р; О Ф Х Ш А Д С С С Т;46
304;fish 12 2; О Ф Х Ш Д С Е Л И И К Д Д Ш Х Ц Ц Х Ш Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Ш Д С С Д Ш Х Х Ш Д С С С Р Р С Д Ш Х Ц Щ З С С З Щ Ц Х Ш Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Ш Д С С Д Ш Х Ц Щ З С С С С С С С Т; О Ф Х Ш А Д С С С Т;88
305;fish 12 3; О Ф Х Х Ц Щ Г З З К Л Л К Г Щ Ц Х Х Ц Щ К Л Ж С З К Л Ж Ж Л Л Л К Щ Ц Х Ш А К К Д Д Ш Х Х Ш Д С Е Л К Д С С Д А Ш Х Х Ш К К Д С Е Л К Ш Х Ц Щ К К Щ Ц Х Х Х Х Х Х Ф Ф Ц Щ К Л Ж Т Т С З К К К Л Ж Т Т С С Т; О Ф Х Ш А К К К К Т;93
306;fish 13 1; У О М Л Л К Г К К Щ Ц Х Ш А Ш Х Х Х Ц Ц Х Ш А Д С С Д Ш Х Ц Щ Г Щ Ц Х Ш Ш Х Ц Щ К Л Ж С З Г З С Ж В Л К Г З С Т; О Ф Ф Х Ш А А А А Т;51
307;fish 13 2; О И К Ш Х Ц Щ Г Щ Щ Х Х Ц Щ Щ Ц Х Ш А Ш Х Х Ш А К К Ш Х Ц Ц Х Ш А Д С Е Б Л К А А Д С С Д А А А Д С С Д Ш Х Ц Щ Г Г Щ Ц Х Ш А Д С Е Б Л И О О Ф Ц Щ Г К Л Ж Т Т С З К Л Ж Т; О Ф Х Ш А А А А А Т;78
308;fish 14 1; О М Л В Ж Т Т С З Г К М М К Г Г З С С З Г К Л Л К Щ Щ Г З С Т; О Ф Х Ш А Д С Д С Т;28
309;fish 14 2; О Ф Ц Щ Щ Ц Х Ш Д Д Ш Х Ц Щ К Л Ж С З Г Щ Ц Х Ш К Л Е С Д А Ш Х Х Ш Д С Р Р С Д Ш Х Ц Щ Щ Ц Х Ш А Д Д А Ш Х Ц Щ З С С З Щ Ц Х Ш Д Д Ш Х Х Ш А Д Д Ш Х Ц Щ З С С С Т; О Ф Х Ш А Д С Д С Т;73
310;fish 15 1; О Ф Ф И И И И И И О О О О О О М К Г З С С З Щ Щ К Л Ж Т; О Ф Х Ш А Д С С С Т;24
311;fish 15 2; О Ф Ц Щ Г Щ Ц Ф Ф Ц Щ Г Щ Ц Ф О О М Л Ж С С С З К Л Ж Т; О Ф Х Ш А Д С С Д Т;24
312;fish 16 1; О Ф Ц Щ Г К К К М О О М К Щ Ц Х Ш М М М М М М М М М М Л Ж Ж Л К К М О О М К З С С С Т; О Ф Х Ш А Ш А К К Т;37
313;fish 16 2; О Ф Ф М К Г Щ Ц Ц Щ К К Щ Ц Х Ш А Ш Х Ц Щ З С С З Щ Ц Х Ш Д С С Д А Ш Х Ц Щ Г Г Г З С С З Щ Ц Х Ш Д С Р Р С С С Д Ш Х Х Ш Д С С Д Ш Х Ц Щ Г З С С З Щ Ц Ц Щ З С С З Щ Ц Х Ш Д Д Ш Х Ц Щ З С Ж Ж Т; О Ф Х Ш А Д С С С Т;88
314;fish 17 1; О Ф Ц Щ Г Г З С С З Г Щ Ц Х Ш А Д С Е Б Л И М К Г Г Щ Ц Ц Щ З С Ж Л Л Ж С З Г К Л Ж Т Т С З Щ Ц Х Ш К Л Е С Д Ш Х Х Ш Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Ш Д С Е Л И И Л Л К Д С С С Е Л И Ф Ц Щ Г К Л Л М И И М К З С Т Т Ж Л Л Ж С С Ж Л Л Ж Т; О Ф Ф Ф Ф Ц Щ К Л Т;111
315;fish 17 2; О Ф Ф М К Г Г З С Ж Л Л Ж С З Щ Ц Х Ш А А Ш Х Ф И Л К К Л Л К Д С С Д А Ш Х Ц Щ З С Ж Ж Л К Щ Ц Х Ш К Л Е Е Л И М К З З Щ Ц Х Ш Д С Е Л И Ф Ц Щ К Л Ж С З Щ Ц Х Ш К Л Л И М К З С С С Т; О Ф Ф Ф Х Ш А Ш А Т;84
316;fish 18 1; О Ф Ц Щ З С С З Щ Ц Х Ш А А К И М К Щ Ц Х Ш Д С С С Е Л И О О О О И И О О И И И Л Е Р; О Ф Х Ш А Д С С С Т;34
317;fish 18 2; О Ф Х Ш А Д С Е Л К К И М К К Л Ж С З Щ Ц Х Ш Д Д Ш Х Ц Щ З С Ж Л М О О Ф Х Ш К Л Л И О О И К К Л Л И М К К Л Л К Щ Ц Ц Щ З С Т; О Ф Х Ш А Д С С С Т;55
318;fish 19 1; О Ф Ф М К Г Щ Ц Х Ш А К К Д С Е Л К Щ Ц Ц Щ К Л Л К К Л Ж Т; О Ф Ф Ф Ф Ф Ф Ф Ф Т;27
319;fish 19 2; О Ф Ф О О И К А Ш Х Ц Щ Г З С С З Щ Ц Х Ш Д С С С Е Л И О О М К Щ Ц Х Ш К К Ш Х Ф Ф Ц Щ К Л Ж Т; О Ф Ф Х Ш А К К Л Т;40
320;fish 19 3; О Ф Ц Щ К Л Ж Ж Л К Щ Ц Х Ш А Ш Х Х Ш Д С С Д Ш Х Х Ш А К Л Е С Д Ш Х Ц Щ К К Г З С Ж Л Л Ж Т; О Ф Ф Ф Х Ш А К К Т;40
321;fish 19 4; О Ф Ц Щ Г К Л Л М И Л Б Л К Ш Х Ц Щ К М И К Д О А Ш Х Ц Щ З С С З Г К Л М М К З С Ж В Л М О О М К К М И И К К И М Л Ж Т; О Ф Х Ш А Ш А К К Т;53
322;fish 20 1; О Ф Ц Щ З С Ж Л К Г З С С З Щ Ц Х Ш А Ш Х Ц Щ З С Ж Л К Щ Ц Х Ш А Ш Х Ц Щ З С С З К Л Ж Т; О Ф Ф Х Ш А Ш А К Т;37
323;fish 20 2; О Ф Х Ш Д С С Д А К К Ш Х Х Ш Д С С Д Ш Х Ц Щ Г К К Щ Ц Х Ш Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Ш Д С Р; О Ф Х Ш А Д С С С Т;40
324;fish 20 3; О Ф Ц Щ К Л Ж Т; О Ф Ф Х Ш А К К К Т;7
325;fish 20 4; О Ф Ф Ф Ф И К К Л Е С Д А Д С С Д Ш Х Ц Щ З С С З Щ Ц Х Ш А Ш Х Ц Ц Х Ш Д С Р Р Е Л К Ш Х Ц Щ Г Щ Ц Х Ш Д С С Д А Ш Х Ц Щ Г К Л Ж С З Щ Ц Х Ш Д С С Д Ш Х Ц Щ З С Т; О Ф Х Ш А Ш А К К Т;74
326;fish 20 5; О И К К Л Л К К К Д С С Д А К И Ф Ц Ц Ц Щ Г Щ Ц Ц Щ З С Ж Л М И Л Е Р; О Ф Ф Ф Ц Щ К Л Ж Т;30
327;fish 21 1; О Ф Х Ш К К Ш Х Ц Щ З С С З К К Щ Ц Ф О О Ф Ф О О М Л Л К Г З С Ж Л Л В В Л К Щ Ц Х А Д С С Д К Л Е Р; О Ф Ф Ф Х Ш А Ш А Т;46
328;fish 21 2; О Ф Ф О О Ф Ф Ф Ц Щ К Л Л К Щ Ц Х Ш К И М Л Ж С С Ж Л М И А К К Ш Х Ц Щ Щ Ц Ц Щ Г К Л Ж Т; О Ф Ф Х Ш А Ш А К Т;37
329;fish 21 3; О И И М Л Ж С С Т; О Ф Ф Х Ш А К Л К Т;8
330;fish 22 1; О Ф Ц Щ К Л Л М Ф Ц Щ З С Т; О Ф Ф Х Ш А Ш А Д Т;12
331;fish 22 2; О М Л Ж Ж Л К Щ Ц Х Ш А К И И К Д С С Д К К Ш Х Ц Ц Х Ш К И М Л Ж С З Г Щ Ц Х Ш А К И Ф Ф М К З С Т; О Ф Х Ш А Д С С С Т;42
332;fish 22 3; О Ф Ф М Л Л К З Т; О Ф Ф Х Ш А К К К Т;5
333;fish 22 4; О Ф Х Ш Д С Е Л К Ш Х Ц Щ К К Г З С С З Щ Ц Х Ш А Ш Х Ц Щ К Л Л К К Л Ж Т; О Ф Х Ш А Ш А Ш Х Т;29
334;fish 22 5; О О О М К Щ Ц Х Х Ц Щ Щ Ц Х Ш Д С Е Л И М К З С Т; О Ф Ф Ц Щ К Л Л Л Т;21
335;fish 22 6; О Ф Щ Ц Х Ш Д Д Ш Х Ц Щ К Л Ж С З З З Щ Ц Х Ш Д Д Ш Х Ц Щ К Л Ж С З Щ Ц Х Ш Д С С Д Ш Х Ц Щ З С С З З С Т; О Ф Х Ш А К К К К Т;47
336;fish 22 7; О М К Щ Ц Х Ш К К Д Д Ш Х Ц Щ З С С З Г Щ Ц Ц Щ З С Т Т С З З С С С С З Щ Ц Ц Щ З С С З Щ Ц Х Ш Д Д Ш Х Ц Щ К Л Л К К Щ Ц Х Ш Д С С Д Ш Х Х Ш Д С С С Е Л И М К К К Щ Ц Х Х Ц Щ К Л Л К Щ Ц Ц Щ З С Т; О Ф Х Ш А Д С С Д Т;92
337;fish 23 1; О Ф Ц Щ К Л Л К Г З С С З Щ Ц Х Ш К К Ш Х Ц Щ К К З С Ж Л Л К К М О О М Л Ж С С Т Т С З К Л М И Л Е Р; О Ф Х Ш А Ш А Д С Т;45
338;fish 23 2; О М М М К К К З С С З Щ Ц Х Ш А Ш Х Ц Щ К М И И И И М К Щ Щ З С С З Щ Ц Х Ш К И М К Л Ж Т; О Ф Х Ш А Ш А Д С Т;39
339;fish 24 1; О Ф Ф М К К М И К К К К И И К Д С С Д А К К Д Д Ш Х Ц Щ К Л Ж Т; О Ф Ф Ф Ц Щ К Л Л Т;25
340;fish 24 2; О Ф Ф О М К Г Щ Ц Х Х Ц Щ К К З С С З К К Щ Ц Ц Щ К К З С С З Щ Ц Х Ш А Д С Р; О Ф Х Ш А К К К К Т;32
341;fish 24 3; О Ф Ф Ф Ц Щ К Л Л К К К Щ Ц Х Ш А Ш Х Ц Щ К К Щ Ц Ц Щ К Л Ж Т; О Ф Ф Ф Ф Ц Щ К Л Т;23
